"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","fontLabelMedium","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjX0O8We5NE459gSYBIsTBNr9ibv3zziKJQsTwyDpzAGtVk=w54-h54-p-rp-mo-ba5-br100","Vishal Joshi","Local Guide · 230 reviews · 616 photos","","","6 years ago","Awesome place is this, lots of hostile inside.the best part pf iit is mood indigo fest","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUV1Kdv-05iKDKdFxeC-mmj88g_h8gtrp5blfZVgKUgFTo=w54-h54-p-rp-mo-ba3-br100","Akesh Meshram","Local Guide · 19 reviews · 90 photos","","","7 years ago","Greenest place in mumbai with great flora and fauna. It is attached to powai lake which adds to the beauty of campus. There you can enjoy birdwatching early in the morning or sunset late in the evening. Enjoying my stay in this great campus.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXEIxHXumCK2sad_nf_AAhxiXQSvGX4J972TnLnwfGK5Q=w54-h54-p-rp-mo-br100","Ashwin K","5 reviews · 1 photo","","","3 years ago","Prestigious Technical Institution of India.
Best teachers, best campus, best atmosphere, best hostels, best food etc... Everything is best here. …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJd7iU0zr3cpquABExglM2tGB20E1a4C4TT48a6DQ6oXw=w54-h54-p-rp-mo-ba6-br100","ranjith kumar","Local Guide · 195 reviews · 3,428 photos","","","6 years ago","This is one of the best colleges even among the IITs. It is always ranked among top 3 in India. Cultural fest of IIT called Mood Indigo, which generally happens in the last week of December, is considered to be the fest with maximum …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqOABl4HV1nLtD_OJZhdNueeqP99iQLBOck6Mmmem0-p5c=w54-h54-p-rp-mo-br100","Deepak Verma","135 reviews","","","6 years ago","It one of the best college of India. It dream of student to study in this college. It owsome infrastructure and the facilities provided by the college is world class. It is not possible to get admission  in this college for an average …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVnlCWWpeoBwnlJv4wBAe9RIPrxy0dJgOPBnTJMnFRBduAK=w54-h54-p-rp-mo-ba4-br100","Pankaj Devarai","Local Guide · 43 reviews · 26 photos","","","8 years ago","If you have access to IIT Bombay Campus then you have access to cycling heaven. Its literally the Netherlands of India for cycling.  Calm, quite and beautiful weather under huge trees that lean over the road as if hugging the tree on the other side.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVkckZW-tD9cUVMyIHEfyrGJHOj2OZ4-TKVeHc2zWt0iw8=w54-h54-p-rp-mo-br100","Abhi Chaudhary","25 reviews","","","a year ago","A dream for all of the engineers
The hardwork the engineers do to get into this place is completely paid off when they enter this institution.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVonvOLry7lRwmguYHCAwv-pfAy2DbYZk0U3dD-pP1qcjs=w54-h54-p-rp-mo-ba6-br100","Er.Sanjeev Kumar","Local Guide · 307 reviews · 1,454 photos","","","a year ago","Wonder full for education of Engineering Student,  Every Indian Engineering  students Dream College.
It's Located near Powai Lake in Mumbai...","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU35Xr3LdyeL8kFH4i_hYswleYL07ceBv_bcRQFoajfd1u_=w54-h54-p-rp-mo-ba5-br100","Mehek Male","Local Guide · 47 reviews · 2,502 photos","","","5 years ago","best institute in mumbai. very large campus, with lots of greenery.
location is great.
well designed institute, with lots of space.
nice pantry service.","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWE-_BtGvkEW06QP6vM-FyxRnpSIqTGxDdj4z1dLFLxAZbi=w54-h54-p-rp-mo-ba4-br100","Jeewan Chandra Joshi","Local Guide · 34 reviews · 219 photos","","","a year ago","Best Institute in The world.
World Class Faculty.
Great Infrastructure.
Best Minds of the world","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVel5jGRg7uxzXKBGYBxkoPlt_G7yJyI94tL3SOLBTSkipy=w54-h54-p-rp-mo-ba4-br100","Rajendher Mangalarapu","Local Guide · 99 reviews · 89 photos","","","7 years ago","Learning Hub

There are three types of students I see here …","More","","","","Like","33","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWoxhcmI7ZuaSb0QgBItUOL4n-WkKsW4fkhnqEaE9QIoLE0=w54-h54-p-rp-mo-br100","varsha lamkhade","2 reviews","","","a year ago","Amazing place
Good ambience
Nature all around …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL5xkfurKLu84oOKnNvd_9xqEWFG6ENNAGqGlUp34fyLrg=w54-h54-p-rp-mo-br100","SWASTIK DAS","11 reviews","","","a year ago","Best college and campus to experience for any student planning for a technical career.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWOSo8_Z9uhaKSHJ3M3Wj4etwoF0IyQUAR4ypw-jtOthA=w54-h54-p-rp-mo-br100","Shraddha Jadhav","20 reviews","","","a year ago","Facility, Faculty and place is very nice you can say World class... :)","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWLTH7b5OQeKGrwrjOVMMgg9pLtYjUxyCjXg0NkdU562Q5c=w54-h54-p-rp-mo-ba6-br100","JUSTY","Local Guide · 84 reviews · 2,672 photos","","","5 years ago","It's one of the best engineering colleges in India.

Awesome place and academic environment. …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUORDSQNpXXQs980kHmzc66hx97exWv0OniG2uSjuIF=w54-h54-p-rp-mo-ba5-br100","Sandesh Dagwar","Local Guide · 282 reviews · 597 photos","","","4 years ago","One of the huge educational campuses of the country","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLstSflkl10bePLWff45xVc8qb7HJ4KSGHDUJm3ODEy=w54-h54-p-rp-mo-br100","Senthilkumar Ramu","6 reviews","","","10 months ago","World class education system. Well experienced staff & healthy environment for learning.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUoB03bSQaAUtyLDEF89GCzmwhg6ugaFwdT1x-eLKXT5YTZ=w54-h54-p-rp-mo-ba3-br100","Chetan Singh","Local Guide · 42 reviews · 12 photos","","","7 years ago","great institution.
there will be some professors saying to study all day all night, and there will be professors saying to follow your heart. …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWS22oKZojFSX_AmUgCZrJGyvKCmq4qk2cswwl6ha3B2u4=w54-h54-p-rp-mo-br100","Navjeet Singh","3 reviews","","","10 months ago","One of the best institute in India with top class faculty and culture","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXOTGsSPcBV3xUxK3doywML61BjBLB8ljYiyo07oY-jY8M=w54-h54-p-rp-mo-ba6-br100","Amit Kumar","Local Guide · 236 reviews · 1,181 photos","","","7 years ago","Best of all the IITs. Visited there once and found that the location is very good. The campus is also good. But the hostels seems to be old type. They should be maintained.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXhZdEwe2galMfP5CyNgDAoyMYN-USFlTicfWinNWeDDNM=w54-h54-p-rp-mo-br100","CA CS Tarun Gupta","20 reviews","","","a year ago","Best institute with great teachers. Advance technology is being used for study.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmr7LKxo5bM_pvzu72x5obXwMXhXHpz_NG3Vh7Qn74Rt8=w54-h54-p-rp-mo-br100","navin singh","15 reviews · 1 photo","","","a year ago","One of the finest place for engineering student .
Dream college for students.
I Felt so peaceful .","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXJRBOhHiDfkjS1iRH5CFiDj_T_gASZGAJNeu5Uobb4BzbU=w54-h54-p-rp-mo-ba6-br100","Rewant Lokesh","Local Guide · 305 reviews · 2,468 photos","","","a year ago","Premier institute of technology in the heart of mumbai with beautiful wide walkways and greenery all along.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK4hCWobILKAckPxHhDUhKaYA19CQKhDAXD-C6qEZtQxBA=w54-h54-p-rp-mo-ba6-br100","Dr Gorakh Bobde","Local Guide · 312 reviews · 2,929 photos","","","5 years ago","It's one of the premier engineering institute in India, located in Powai Mumbai with mesmerizingly beautiful campus. It is the second-oldest institute of the Indian Institutes of Technology system. IIT Bombay was founded in 1958. Spread …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVtEG3-heDiFOVaWwrE7d_IedNL4TFclWUja84d2K5F_U4=w54-h54-p-rp-mo-br100","Rahul Kumar Gupta","22 reviews · 5 photos","","","8 months ago","IIT Bombay is one of the best IIT college in India, with best teaching staff","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWVFDEV707_l85yv5SHiWTm5hkhkJkOTAQyVgF-ovn7dBdL=w54-h54-p-rp-mo-ba4-br100","Vaishakh R","Local Guide · 56 reviews · 440 photos","","","9 years ago","The environment is amazing! Its surrounded by lakes and hills without compromising on connectivity to the city. A place to learn, to grow from a high school kid to someone who can take on the world!","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLARcIXfjapuQ9FZlmKp0fBO6b1VL47MNCZ7-6Nmytt=w54-h54-p-rp-mo-br100","Deepika Chauhan","10 reviews","","","a year ago","Top Learning experience,  pioneer learning from them.  Every engineers should visit here once.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUh3jvIdcff42kN1qvMvB-agFCA66ILgH7qhU-QWZRMl2Q=w54-h54-p-rp-mo-br100","K.Ramsai Hanumanthu","1 review","","","2 months ago","Iit Bombay my life ❤️❤️","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWNyI8F_6R2wVmMGX8iqDgBg4fOOw8c-2AUUE27_NK0deE=w54-h54-p-rp-mo-br100","amit k.l","20 reviews","","","a year ago","What an institute, great campus. It’s a dream come true experience.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUR0n7fud4ASwE5wCv5RJH1cpHbmZYLlQUwdnDHYTWg7LiJ=w54-h54-p-rp-mo-ba3-br100","Omkar Patade","Local Guide · 50 reviews · 8 photos","","","5 years ago","IIT Powai is one of the best institutes for Engineering, Tech, Science and Maths, the institute has a lush green campus and the faculties and students both are cultured, it is regarded as the best institute for undergraduates","","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUWKTK38s4-2JzxG9B7J3FKEtk0YVf1WxO3uoGpyu8bPW0=w54-h54-p-rp-mo-ba5-br100","Reshav Das","Local Guide · 179 reviews · 317 photos","","","6 years ago","Top 50-70 best students in India are eligible for this admission in this college. Ranked 300-400 over the world and the best IIT although it varies between IIT Delhi . IIT Bombay is dream for everyone but only 50 70 approx are able to make it. Only students who crack JEE Advanced or GATE  exam are eligible with good AIR only!","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbFBQ8e5szA_DoFM83UJxOPQjfyHzjrmo9gEni84tqwA=w54-h54-p-rp-mo-ba4-br100","Arun Kumar","Local Guide · 52 reviews","","","6 years ago","IIT Bombay has a comprehensive graduate program offering doctoral degrees in Science, Technology, Engineering and Mathematics.[4]Currently IIT Bombay has a total of 14 academic departments, six centers, one school, and three …","More","","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX68a15uLVkXzqcoFbnchQAB9J4n3uL71LpCqAPQ7C68Tw=w54-h54-p-rp-mo-ba2-br100","Rajat Kumar","Local Guide · 18 reviews","","","8 months ago","Mesh Chicken was tasty, but medu vada didnt have a hole","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU9-ZxD65ej04rW6Jxhmw4DqCddZcLs0Ktr-vvwMPptmK0=w54-h54-p-rp-mo-br100","fayyaz muzammail hussain ahmed","6 reviews","","","a year ago","Excellent iiTb campus and campus nature all activity area hostal and department all facility inside campus student and staff and other visitor 👌⭐⭐⭐⭐⭐ …","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUPiTpLwZxncEITlbMsdSaLHxrGp9qLAnfEN7YZDbMzbok=w54-h54-p-rp-mo-ba8-br100","ajit w","Local Guide · 1,684 reviews · 4,189 photos","","","6 years ago","Quaint... amid the greenery... Among the top engineering colleges in the world... students enjoy the subsidized education, once graduated escape abroad to fullfill their dreams... one of the main centres of brain drain in India...","","","","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVwsj83KUWUBZSyBIURpWF99dRERxvNCaWfav_0vffSZlf_=w54-h54-p-rp-mo-ba5-br100","Jeevan Pradhan","Local Guide · 179 reviews · 668 photos","","","6 years ago","Institution that produces high professionals in the country. Place is good with lots of trees. Atmosphere is great and well maintained. Each department and section are well organized","","","","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVKKGMrLA5Lc76DNyoHFX2vc-rpfUh4uHwiqxmSicgpHw=w54-h54-p-rp-mo-br100","Shailendra Indulkar","902 reviews","","","6 years ago","IIT Mumbai is having one of the best campus ,
You are in city yet out city in huge garden like experience .
Interacting with this students always gives you new dimension to think !! !!","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUZF2_9mnuCqBuWkLUX62P5rRwoVULVcT0ZaXOuo9qVxsQ=w54-h54-p-rp-mo-br100","Kuldeep Kumar","1 review","","","6 months ago","Best education Institute and produce best engineers","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIOWjWafW3Ljk3WpxRMMHzKVgCdN2vdL_Gyf7iFOzhWyw=w54-h54-p-rp-mo-ba3-br100","Bharath Krishnan R","Local Guide · 73 reviews · 58 photos","","","6 years ago","We went during tech fest was an un forgettable experience","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXuuZCWfPAW6C6DBF9S8h5_3GXPG3N5pzl7idwy4aA5Lw=w54-h54-p-rp-mo-ba6-br100","Suraj Kumar","Local Guide · 150 reviews · 4,257 photos","","","3 years ago","IIT Bombay was the first to be set up with foreign assistance. The funds from UNESCO came as Roubles from the then Soviet Union. In 1961 Parliament decreed the IITs as ‘Institutes of National Importance'. Since then, IITB has grown from …","More","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX6Jn5rherxGLOMIXslflbKRNiNfFgF11NuJ_OxvZtM2Q4=w54-h54-p-rp-mo-ba5-br100","Sumanth Viraktamath","Local Guide · 444 reviews · 158 photos","","","8 years ago","Best engineering college of Mumbai spread across a vast expanse of lush green campus! You will find the best minds of the country making their way through the learnings of engineering!","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWVj_6gz8PdquzvB0WFjoz4DM_gpR7HqpDYrwSSvj7ijYE=w54-h54-p-rp-mo-ba5-br100","Pratish Patankar","Local Guide · 542 reviews · 151 photos","","","6 years ago","Public engineering institution. IIT Bombay was ranked as India’s top university. It is the second-oldest (after Indian Institute of Technology Kharagpur ) institute of the Indian Institutes of Technology system. …","More","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVrCYn7g2o-Av0ovn1BSidFSdEPSm0QIzkLhl_rXNCLpiM=w54-h54-p-rp-mo-br100","Dev Khamkar (Mathematics)","1 review","","","4 months ago","Best college in india","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVt5S3E63LGQwvh8SCdZ-6hcGU_3ryZSoKmfEqU3ttNsYqG=w54-h54-p-rp-mo-ba3-br100","Manish Kumar Naik","Local Guide · 11 reviews · 43 photos","","","5 months ago","The best atmosphere to learn, be it the peers or the resources.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXNLJZx-9_gdqGgWPHhAki9MV4D8zuDRqGt-Qv4KOriEqI=w54-h54-p-rp-mo-ba4-br100","Deepan Sarkar","Local Guide · 92 reviews · 498 photos","","","7 years ago","The experience of an IIT campus cannot be put down on paper. The brightest minds of the country are located in an area of around 600 acres with lush greenery, lakes and buildings.  There are two entrances - the Main Gate and the YP Gate. …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWTfw8CcZA79vPHkOuiQfijAjDIkrKEkxHSN5_I4_X3XA=w54-h54-p-rp-mo-ba3-br100","Praveen Patange","Local Guide · 42 reviews · 7 photos","","","7 years ago","The Prestigious Technical University of India with largest campus area, various departments & world class laboratories & faculty. The Central library is with good resources & opac facility.","","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU1eITsCfNxIJs7BZeh8_jPU9_qXsRWhztWfNJ0wvYfhLM=w54-h54-p-rp-mo-ba5-br100","Sumit P","Local Guide · 133 reviews · 35 photos","","","6 years ago","It is one of the few IITs which is located in the midst of the city. Other IITs (except IIT Delhi in older IITs) are settled at the outskirts of the city.IIT Bombay’s annual fests organized by student body like Mood-Indigo (Cultural) and …","More","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL3MPqzhmHjCF2ZWyIjvPHka8BKQTAQ7lIA51grAV2R=w54-h54-p-rp-mo-br100","Vijayalakshmi Lakshmi","12 reviews","","","a year ago","It's a good college with good infrastructure and quality of education.
I loved it.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUGwjF4KXsb2xpCYHiCYu_ipkgaNLASY3ThGCw8TRQvEbQ3=w54-h54-p-rp-mo-ba6-br100","Joydeep Sengupta","Local Guide · 335 reviews · 6,347 photos","","","7 years ago","Been here for Mood Indigo! Amazing place. Maddu's place is good for breakfast & food. It's a really good campus, very happening place during Mood Indigo. You got to be here!","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUuTlPzwLNxv2ILNV-_yRVtpBnDV1yUuc8xl8iGU2MUkVzX=w54-h54-p-rp-mo-ba4-br100","Hanin Mp","Local Guide · 67 reviews · 217 photos","","","a year ago","Techfest IIT Mumbai","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWiWf7ulYGC8hZ05_TOJcuNMYMJkGb0Af0croM_4GmOo3o3=w54-h54-p-rp-mo-ba4-br100","Mohit Ganvir","Local Guide · 20 reviews · 82 photos","","","9 months ago","It's was great experience in campus I had attended techfest","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV_HAsyyLpCJdwJy3n0y5kMSmASeJ7YmW9MgB6ShOybDjZp=w54-h54-p-rp-mo-ba3-br100","Rahul Raj","Local Guide · 46 reviews · 2 photos","","","8 years ago","Good location, great campus. For academic importance, look at the number of top 100 JEE rank holders who join this place.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKlbfWW8jInOlCsxH-7IrzXo4GbLGv5sEuyG32QHmy0=w54-h54-p-rp-mo-br100","Rajesh Verma","2 reviews","","","9 years ago","Best place to study in engineering.
Great place for a student to learn his skills and engineering.
Dream for engineering students to learn in IIT Bombay.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUlgKIh4cY78nDbBMuTqVpKEzSaPqC7pxb3Er1Mfxf46vR3=w54-h54-p-rp-mo-ba5-br100","James Evans","Local Guide · 366 reviews · 1,122 photos","","","7 years ago","This is a cool place to visit while in the city. I went to a conference here which was fun. Check out the surrounding area of Powai. This is one of the best schools in India.","","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXcbgq4B-ar1K_hJtAdGD9xBHqTOUswGuzeJJJvAy1CNoyB=w54-h54-p-rp-mo-ba4-br100","Nikhil Jain","Local Guide · 89 reviews · 78 photos","","","7 years ago","Called also the Mecca of all IITs, IIT Bombay is one of the best IIT in India.
Located in Powai beside a business pasrk Hiranandaani, it serves as the best place for an engineer to read and study and have an all-round development. Best of …","More","","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI5a5vbcylQkGj5x3Mc70mt5YgsggyuCHirsCz0YjQ4=w54-h54-p-rp-mo-br100","Joydeb Mandal","14 reviews","","","6 years ago","One of Indian Best University for carrier of Chemical Engineering. So I will be go there only for Chemical engineering.I also love of this University and not only this, this University is to located of my Blood.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWAk25B1Hr_ebw95vXAYt71XaoIKpSWhnYHtsYFNqB-EwY=w54-h54-p-rp-mo-ba3-br100","Amod Shankar","Local Guide · 63 reviews · 19 photos","","","a year ago","This is best engineering institute in Bombay ten top most reputed institution.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXyACQO5oor_HydLrJjOxxCdN4Je0MvZrB5woclKtWRtyGn=w54-h54-p-rp-mo-ba6-br100","Arjun Damodar","Local Guide · 549 reviews · 740 photos","","","7 years ago","This is definitely one of the best universities I have ever been to. Even the feeling is different when you enter the campus, as if you are surrounded by pure knowledge :)","","","","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWkuxwjT27ZeQTc8Sj3rHDpDUq16VIbJhz10OdT9G6KnCRv=w54-h54-p-rp-mo-br100","Piyush Wagh","6 reviews","","","a year ago","Top Learning experience,  pioneer learning from them.  Every engineers should visit here once.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEoyQLBmO350x55DG2YTtw3sw6uGzJTxQsR-vRbWDWje0=w54-h54-p-rp-mo-ba5-br100","NUFAIL I","Local Guide · 95 reviews · 654 photos","","","6 years ago","IIT Bombay was founded in 1958.In 1961, the Parliament decreed IITs as Institutes of National Importance.A high-power committee of Government of Indiarecommended in 1946 establishment of four higher institutes of technology to set the …","More","","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWZWF3Ddr-7RXPz80pXcjuE4V3wo74IAYwe9mqapfpp9Q=w54-h54-p-rp-mo-ba5-br100","Yashraj Phatak","Local Guide · 98 reviews · 313 photos","","","6 years ago","Best institute in India so far for any course, but getting into it is too tough and once you get in it your life is set, people strive hard for years to get into it","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLvqVavyl9Aqe7g9dmvka4uOggvjn7zn_chfiMEq5RAfQ=w54-h54-p-rp-mo-br100","Shomik Biswas","1 review","","","10 years ago","Fellow IITians I'll be there with you at IIT Bombay in June - July 2014 , with an A.I.R. better than 50 for Computer Science Engineering , brimming with Pride and Joy and finally Realising my Dream !!! , so ... Wait for me ... :)","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI53EbviN2nIYRWbjo4fgAJC_ku2-tT1fvVGs8iSFbi=w54-h54-p-rp-mo-ba5-br100","Anoop Singh","Local Guide · 383 reviews · 84 photos","","","6 years ago","Established in 1958, the second of its kind, IIT Bombay was the first to be set up with foreign assistance. The funds from UNESCO came as Roubles from the then Soviet Union. In 1961 Parliament decreed the  IITs as  ‘Institutes of National …","More","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVL2RE70x8-AJzGkhlD0et6BidQsptvtvy44j4Y0O4iAls=w54-h54-p-rp-mo-br100","Shahidafridi Shaikh","37 reviews · 11 photos","","","8 years ago","Best way 2 success
IIT Bombay has a comprehensive graduateprogram offering doctoral degrees in Science, Technology, Engineering and Mathematics.Currently IIT Bombay has a total of …","More","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJCcI57q2m-AuOiJ0t8pN25woXfI9FCrfODRZridkJKElg=w54-h54-p-rp-mo-br100","m .ishwarya ishu","2 reviews","","","a year ago","The Best Institute in Mumbai. Good atmosphere and fabulous environment.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV-wAyxpROdg30SncanZ2r69SRXan220BsFEk2097UjQ6k=w54-h54-p-rp-mo-ba4-br100","Rohit Dewan","Local Guide · 72 reviews · 128 photos","","","a year ago","I Love this institute.This is the best college.I wanted to be a. IITian","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUE2s-14gBKiDjpjBtx0h_rj1GzYYGWmLsyqMCziqVTwtM=w54-h54-p-rp-mo-ba4-br100","Sravani Chandramukhi","Local Guide · 78 reviews · 27 photos","","","6 years ago","One of the Best institutions in India. Great culture. A dream college for student. Lush green trees in the campus.","","","","","Like","12","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsqK0xekLb64TOtU7IilGTBcLk_5QrExKapwXPkb0AUw=w54-h54-p-rp-mo-ba2-br100","S M A Zuhoori","Local Guide · 29 reviews · 4 photos","","","a year ago","Best Institute in Mumbai. Good atmosphere and spacious lawns.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXV9eOqyFziWxzfbXlOvWf_k_FpqtuGcWdiIoR95uENaW8=w54-h54-p-rp-mo-br100","Farzana Shaik","6 reviews","","","a year ago","Awesome place  best institute  I have never ever seen awesome","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUxD6QJ0co_WLbaE2GvhqapY3d-mQoQNuIZEeCv_2Pkvo0=w54-h54-p-rp-mo-br100","salman pathan","3 reviews","","","a year ago","Finest place to study. Very well institution to get degree.","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWM3XMQ8ayL0C7HPwRQFh6Bsh_qubFQLilyatDm4ShFlgc=w54-h54-p-rp-mo-br100","Nimish Gupta","14 reviews","","","9 months ago","Dream college of every jee aspirants
Very nice college
Love it 😍 …","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIHAjPTUuWD7puuVpjGsXhj9FYinLM2vomG9qb3B3-c=w54-h54-p-rp-mo-br100","Vikash Gond","1 review","","","6 months ago","I want to go there .....and i believe one day i will come there .....🙂 …","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKmx3EHuZoGj78zUIKLRujeFa7T5M3XpF-tyY9DnbBt=w54-h54-p-rp-mo-br100","Dinesh Kola","14 reviews","","","a year ago","My cousin studies here. Awesome lifetime experience inside campus","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXszE2tDKrrPbW5BKzRjpCtqmaiVPH5X4Xd252-aA4VQpY=w54-h54-p-rp-mo-ba3-br100","Kartik Gharte","Local Guide · 7 reviews · 12 photos","","","8 months ago","It is the Awesome ace U ever visited , Heaven fir JEE aspirants","","","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUx3kmTZ64jANcVdBLxgxBc3imIKWMQBqfW94jotC4DwaE=w54-h54-p-rp-mo-ba5-br100","Harsh Jani","Local Guide · 219 reviews · 237 photos","","","6 years ago","Best engineering institute in India. Best campus, best teaching staff, best festivals, best location, best competitions, best lectures, best workshops and best students. A dream college for anyone who wants to pursue engineering in India","","","","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXFtLj7_14nug2x9igg5ZiU_9QXwXue3PKqYah1UK8yrbE=w54-h54-p-rp-mo-ba4-br100","Ashwini Yadav","Local Guide · 117 reviews · 16 photos","","","7 years ago","The best technology school in India. Vast green campus. Lots of activities and events where outsiders are also invited.","","","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXDak7Dj2sq1Xjr0Qn0BeJb_eiPyz1rETzTZRPf02XBPH03=w54-h54-p-rp-mo-ba3-br100","AnikeT J.","Local Guide · 39 reviews · 104 photos","","","9 months ago","Very nice campus and peaceful and technical place","","","","","Like","1","","Share","",""
